Brand,Processor,Storage,RAM,OS,Display,Office,Warranty,Price
ASUS,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹47,990"
acer,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹32,790"
DELL,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹58,490"
ASUS,Intel Core i3 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Windows 11, Microsoft Office H&S 2021, 1 Year McAfee",1 Year Onsite Warranty,"₹34,990"
Lenovo,Intel Celeron Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,2 Years Onsite�Warranty,"₹27,290"
MSI,Intel Core i7 Processor (10th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,2 Year On-Site Warranty,"₹63,990"
ASUS,AMD Ryzen 5 Hexa Core Processor,1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹51,990"
acer,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹34,757"
DELL,AMD Athlon Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹29,990"
ASUS,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹45,990"
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,"Microsoft Office Home & Student 2021, HP Documentation, HP BIOS recovery, HP Smart",1 Year Onsite Warranty,"₹71,990"
ASUS,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹35,990"
ASUS,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹58,990"
ASUS,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,43.94 cm (17.3 Inch) Display,,1 Year Onsite Warranty,"₹52,990"
