Brand,Processor,Storage,RAM,OS,Display,Office,Warranty,Price
HP,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹77,070"
ASUS,Intel Core i3 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹49,990"
DELL,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹68,782"
ASUS,Intel Core i9 Processor (12th Gen),1 TB SSD,32 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹3,01,990"
Lenovo,Intel Celeron Dual Core Processor (4th Gen),256 GB SSD,4 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite�Warranty,"₹25,950"
DELL,Intel Core i7 Processor (12th Gen),512 GB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,,,"₹95,090"
DELL,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,88.9 cm (35 cm) Display,Operating System & Software:Windows 10 Home Single Language | Microsoft Office Home and Student 2019,1 Year Onsite Warranty,"₹54,990"
acer,Intel Pentium Silver Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year International Travelers Warranty (ITW),"₹29,490"
Lenovo,AMD Athlon Dual Core Processor,1 TB HDD,4 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,1 Year Onsite Warranty,"₹29,990"
ASUS,AMD Ryzen 9 Octa Core Processor,1 TB SSD,16 GB DDR5 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,"₹1,96,990"
acer,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹63,990"
Lenovo,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite�Warranty�+ 1 Year Legion Ultimate Support + 1 Year Accidental Damage Protection,"₹72,490"
ASUS,AMD Ryzen 7 Octa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,"MyASUS, Office Home and Student 2019, Link to MyASUS, Splendid, Tru2Life",1 Year Onsite Warranty,"₹57,990"
Lenovo,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office (Trial Only),1 Year Warranty + 1 Year Premium Care + 1 Year ADP,"₹60,490"
MSI,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,43.94 cm (17.3 Inch) Display,,2 Year On-Site & Carry-In Warranty,"₹1,90,890"
MSI,AMD Ryzen 9 Octa Core Processor (5th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year On-Site Warranty,"₹1,29,990"
ASUS,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Windows 11, Microsoft Office H&S 2021, 1 Year McAfee",1 Year Onsite Warranty,"₹88,990"
ASUS,Intel Pentium Silver Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,,"₹31,990"
DELL,Intel Core i3 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,"₹41,890"
DELL,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,,"₹79,490"
ASUS,Intel Core i3 Processor (10th Gen),1 TB HDD,8 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Onsite Warranty,"₹28,990"
Lenovo,AMD Ryzen 7 Octa Core Processor,1 TB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,40.64 cm (16 inch) Display,Microsoft Office Home & Student 2019,3 Years Onsite�Warranty�+ 3 Years Legion Ultimate Support + 1 Year Accidental Damage Protection,"₹1,31,490"
ASUS,AMD Ryzen 7 Octa Core Processor (5th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,"Windows 10 Home, Ms-Office Home & Student 2019",1 Year Onsite Warranty by Asus,"₹89,990"
DELL,Intel Core i5 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹62,158"
MSI,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inches) Display,,2 Year On-Site Warranty,"₹1,23,490"
DELL,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,38.0 cm (14.96 Inch) Display,Microsoft Office Home and Student 2021,1 Year Onsite Warranty,"₹42,690"
ASUS,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,40.64 cm (16 Inch) Display,,1 Year Onsite Warranty,"₹1,79,990"
ASUS,Intel Core i3 Processor (11th Gen),512 GB SSD,8 GB LPDDR4X RAM,Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,Microsoft Office Home and Student 2021,1 Year Onsite Warranty,"₹49,990"
ASUS,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB LPDDR4X RAM,Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,Microsoft Office Home and Student 2021,1 Year Onsite Warranty,"₹66,490"
DELL,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹58,276"
MSI,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,,1 Year On-Site Warranty,"₹45,990"
acer,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹58,900"
APPLE,Apple M2 Processor,256 GB SSD,8 GB Unified Memory RAM,Mac OS Operating System,34.54 cm (13.6 Inch) Display,,1 Year Limited Warranty,"₹1,13,990"
MSI,Intel Core i7 Processor (10th Gen),1 TB HDD|256 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,"SHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker",,2 Year Warranty Term for Gaming,"₹1,06,990"
MSI,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,"Matrix Display (Extend)?Cooler Boost 5?Hi-Res Audio?Nahimic 3, Thin Bezel?Speaker Tuning Engine",,2 Year On-Site Warranty,"₹1,50,990"
ASUS,Intel Core i7 Processor (11th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹1,02,490"
DELL,Intel Core i5 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2021,"Display: 15.6"" FHD WVA AG 250 nits 120Hz Narrow Border, Keyboard & Warranty: Backlit Keyboard Orange & 1 Year Onsite Premium Support","₹73,990"
GIGABYTE,Intel Core i5 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹73,990"
DELL,Intel Core i7 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,"Windows 11, Office 21",,"₹1,08,749"
ASUS,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,43.94 cm (17.3 inch) Display,,1 Year Onsite Warranty,"₹64,590"
Infinix,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹39,990"
ASUS,AMD Ryzen 3 Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,,"₹33,990"
Lenovo,Intel Core i5 Processor (11th Gen),512 GB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Years Carry in Warranty,"₹71,990"
GIGABYTE,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,2 Year Carry-in Warranty,"₹99,990"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR5 RAM,Windows 11 Operating System,34.04 cm (13.4 inch) Touchscreen Display,Microsoft Office Home & Student,1 Year Onsite Warranty,"₹1,36,990"
Lenovo,AMD Ryzen 7 Octa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,"₹76,990"
DELL,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Display,,,"₹52,990"
APPLE,Apple M1 Pro Processor,1 TB SSD,16 GB Unified Memory RAM,Mac OS Operating System,41.15 cm (16.2 inch) Display,,1 Year Limited Warranty,"₹2,42,990"
ASUS,Intel Celeron Dual Core Processor,128 GB SSD,4 GB DDR4 RAM,64 bit Windows 11 Operating System,29.46 cm (11.6 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹29,990"
DELL,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹81,490"
DELL,Intel Core i5 Processor (10th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inches) Display,Microsoft Office Home & Student 2019,,"₹76,990"
ASUS,AMD Ryzen 9 Octa Core Processor,1 TB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹1,99,990"
ASUS,Intel Core i7 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Warranty,"₹59,490"
ASUS,Intel Core i3 Processor (12th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹44,990"
DELL,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,Software & Keyboard: Win 11 + Office H&S 2021 & Backlit Keyboard Orange,,"₹99,990"
HP,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Microsoft Office Home and Student 2019, HP Documentation, HP CoolSense, HP SSRM, HP Smart, HP Support Assistant",1 Year  onsite Warranty,"₹40,490"
ASUS,AMD Ryzen 7 Octa Core Processor,1 TB SSD,16 GB DDR5 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,"₹1,40,990"
DELL,AMD Ryzen 5 Quad Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,Office Home and Student 2019 included,1 Year Onsite Warranty,"₹44,990"
HP,Qualcomm Snapdragon 7c Gen 2 Processor,,8 GB DDR3 RAM,32 bit Chrome Operating System,27.94 cm (11 inch) Touchscreen Display,,1 Year Onsite Warranty,"₹29,999"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Microsoft Office Home & Student 2021, HP Documentation, HP e-service, HP BIOS recovery, HP SSRM, HP Smart, HP Jumpstarts",1 Year Onsite Warranty,"₹73,200"
DELL,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,,"₹57,424"
DELL,Intel Core i3 Processor (11th Gen),256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹54,900"
DELL,AMD Ryzen 3 Dual Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹44,090"
HP,Intel Core i5 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,"""Microsoft Office Home & Student 2019, HP Documentation, HP SSRM, HP Smart """,1 Year Onsite Warranty,"₹72,999"
ALIENWARE,Intel Core i7 Processor (10th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail","₹2,50,000"
DELL,Intel Core i7 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,MS Office Home & Student 2019,,"₹1,01,990"
DELL,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹76,288"
ASUS,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹74,990"
realme,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,Microsoft Office 2019 Home & Student,1 Year Domestic Warranty,"₹59,990"
ASUS,AMD Ryzen 9 Octa Core Processor,2 TB SSD,32 GB DDR5 RAM,64 bit Windows 11 Operating System,40.64 cm (16 Inch) Display,,1 Year Onsite Warranty,"₹3,61,990"
DELL,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 Inch) Display,,,"₹98,890"
ASUS,Intel Core i3 Processor (10th Gen),1 TB HDD,4 GB DDR4 RAM,64 bit Windows 10 Operating System,35.81 cm (14.1 inch) Display,,1 Year Manufacturing Warranty,"₹30,650"
DELL,Intel Core i5 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 Inch) Touchscreen Display,Microsoft Office Home & Student 2019,1 Year Onsite Warranty,"₹79,490"
DELL,AMD Ryzen 3 Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹39,090"
DELL,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,,"₹61,677"
DELL,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,,"₹71,890"
APPLE,Apple M1 Pro Processor,512 GB SSD,16 GB Unified Memory RAM,Mac OS Operating System,41.15 cm (16.2 inch) Display,,1 Year Limited Warranty,"₹2,23,990"
DELL,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹79,590"
MSI,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,,1 Year On-Site Warranty,"₹42,990"
Infinix,Intel Core i5 Processor (10th Gen),512 GB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹40,990"
ASUS,Intel Core i5 Processor (10th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹69,490"
ASUS,Intel Core i3 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹47,990"
APPLE,Apple M1 Processor,512 GB SSD,8 GB DDR4 RAM,Mac OS Operating System,33.78 cm (13.3 inch) Display,,,"₹1,09,990"
ASUS,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹74,990"
realme,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,Microsoft Office 2019 Home & Student,1 Year Domestic Warranty,"₹59,990"
ASUS,AMD Ryzen 9 Octa Core Processor,2 TB SSD,32 GB DDR5 RAM,64 bit Windows 11 Operating System,40.64 cm (16 Inch) Display,,1 Year Onsite Warranty,"₹3,61,990"
DELL,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 Inch) Display,,,"₹98,890"
ASUS,Intel Core i5 Processor (10th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹69,490"
ASUS,Intel Core i3 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹47,990"
APPLE,Apple M1 Processor,512 GB SSD,8 GB DDR4 RAM,Mac OS Operating System,33.78 cm (13.3 inch) Display,,,"₹1,09,990"
Infinix,Intel Core i5 Processor (10th Gen),512 GB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹40,990"
Infinix,Intel Core i5 Processor (10th Gen),512 GB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Display,,1 Year Onsite Warranty,"₹40,990"
Vaio,AMD Ryzen 5 Quad Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office 365,2 Years Onsite Warranty,"₹50,990"
HP,Intel Celeron Dual Core Processor,,4 GB LPDDR4 RAM,Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹26,490"
MSI,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,2 Year Warranty by MSI,"₹1,94,740"
ASUS,Intel Celeron Dual Core Processor,128 GB SSD,4 GB DDR4 RAM,64 bit Windows 11 Operating System,29.46 cm (11.6 Inch) Display,,1 Year Onsite Warranty,"₹24,190"
ASUS,Intel Core i5 Processor (10th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹51,990"
DELL,AMD Ryzen 7 Octa Core Processor,512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,35.56 cm (14 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹91,631"
ASUS,Intel Core i5 Processor (10th Gen),256 GB SSD,8 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Warranty,"₹42,990"
MSI,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,40.64 cm (16 inch) Display,,2 Year On-Site & Carry-In Warranty,"₹1,24,990"
DELL,Intel Core i5 Processor (11th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹49,890"
HP,AMD Ryzen 7 Octa Core Processor,1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹1,60,990"
Lenovo,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite�Warranty�+ 1 Year Premium Care + 1 Year Accidental Damage Protection,"₹58,490"
MSI,Intel Core i7 Processor (12th Gen),1 TB SSD,32 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,2 Year On-Site Warranty,"₹2,75,990"
acer,Intel Core i5 Processor (7th Gen),1 TB HDD|128 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year International Travelers Warranty (ITW),"₹1,29,999"
HP,Intel Core i7 Processor (12th Gen),512 GB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,34.29 cm (13.5 inch) Display,,1 Year Onsite Warranty,"₹1,30,990"
ALIENWARE,Intel Core i7 Processor (10th Gen),1 TB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home and Student 2019,1 Year Complete Cover Warranty,"₹2,14,790"
ASUS,Intel Core i5 Processor (10th Gen),1 TB HDD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inch) Display,,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,"₹83,990"
Lenovo,Intel Celeron Dual Core Processor,256 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year Onsite Warranty,"₹30,890"
MSI,AMD Ryzen 7 Octa Core Processor,"PCI-e SSD (NVMe) ready,Silver-Lining Print Keyboard,Matrix Display (Extend),Cooler Boost 5,Hi-Res Audio,Nahimic 3,144Hz Panel,Thin Bezel,RGB Gaming Keyboard,Speaker Tuning Engine,MSI Center",16 GB DDR4 RAM,64 bit Windows 10 Operating System,"PCI-e SSD (NVMe) ready,Silver-Lining Print Keyboard,Matrix Display (Extend),Cooler Boost 5,Hi-Res Audio,Nahimic 3,144Hz Panel,Thin Bezel,RGB Gaming Keyboard,Speaker Tuning Engine,MSI Center",,1 Year On-Site Warranty,"₹1,10,590"
ASUS,AMD Ryzen 9 Octa Core Processor,1 TB SSD,16 GB DDR5 RAM,Windows 11 Operating System,39.62 cm (15.6 Inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,"₹1,61,990"
acer,Intel Core i9 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 Inch) Display,,1 Year International Travelers Warranty (ITW),"₹1,34,990"
ASUS,AMD Ryzen 7 Octa Core Processor,1 TB SSD,16 GB DDR5 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,Microsoft Office Home & Student,1 Year Onsite Warranty,"₹1,35,590"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,8 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,"Windows 11 Home, Microsoft Office Home & Student 2021, 1 Year Mcafee",,"₹57,990"
APPLE,Apple M2 Processor,512 GB SSD,8 GB Unified Memory RAM,Mac OS Operating System,34.54 cm (13.6 Inch) Display,,,"₹1,39,990"
MSI,Intel Core i7 Processor (10th Gen),1 TB HDD|512 GB SSD,32 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,2 Year Carry In Warranty,"₹1,56,090"
ASUS,Intel Core i7 Processor (10th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹88,990"
ASUS,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Warranty,"₹74,990"
acer,Intel Core i5 Processor (11th Gen),1 TB HDD|256 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,35.56 cm (14 inches) Display,,1 Year Carry in Warranty,"₹56,034"
ASUS,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB LPDDR5 RAM,Windows 11 Operating System,36.83 cm (14.5 inch) Touchscreen Display,Microsoft Office Home & Student 2021,1 Year Onsite Warranty,"₹1,79,990"
HP,Intel Core i7 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹1,05,822"
DELL,Intel Core i5 Processor (12th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 11 Operating System,40.64 cm (16 inch) Display,Microsoft Office Home & Student 2021,,"₹75,615"
DELL,Intel Core i5 Processor (10th Gen),512 GB SSD,16 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,MS Office Home & Student 2019,,"₹77,990"
HP,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹63,990"
HP,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB LPDDR4X RAM,Windows 11 Operating System,33.78 cm (13.3 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹1,14,990"
ASUS,AMD Ryzen 7 Quad Core Processor (10th Gen),1 TB HDD|1 TB SSD,16 GB DDR4 RAM,Windows 11 Operating System,35.56 cm (14 inch) Display,,1 Year Warranty,"₹1,60,990"
HP,Intel Core i7 Processor (12th Gen),512 GB SSD,16 GB LPDDR4X RAM,64 bit Windows 11 Operating System,40.64 cm (16 Inch) Touchscreen Display,,1 Year Onsite Warranty,"₹1,45,499"
MSI,Intel Core i7 Processor (12th Gen),1 TB SSD,16 GB DDR5 RAM,64 bit Windows 11 Operating System,39.62 cm (15.6 inch) Display,,2 Year On-Site Warranty,"₹2,44,990"
ASUS,Intel Core i5 Processor (11th Gen),512 GB SSD,8 GB LPDDR4X RAM,64 bit Windows 11 Operating System,35.56 cm (14 inch) Touchscreen Display,Office Home and Student 2021,1 Year Onsite Warranty,"₹74,990"
HP,AMD Ryzen 5 Quad Core Processor,512 GB SSD,8 GB DDR4 RAM,64 bit Windows 10 Operating System,39.62 cm (15.6 inch) Display,,1 Year Onsite Warranty,"₹59,990"
