Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
ASUS,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,17.3,Normal,Not Available,1 Year Onsite Warranty,52990
MSI,Intel,Core i7  - 11th Gen,512,0,16,DDR4,64 bit Windows 10,15.6,Normal,Not Available,2 Year Carry In Warranty,96990
DELL,Intel,Core i5  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,67990
RedmiBook,Intel,Core i3  - 11th Gen,256,0,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,30990
HP,Intel,Core i5  - 12th Gen,512,0,16,DDR4,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,62990
Lenovo,AMD,Ryzen 5 Hexa Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,49490
APPLE,Apple,M1,256,0,8,DDR4,Mac,13.3,Normal,Not Available,1 Year Onsite Warranty,92990
ASUS,Intel,Core i5  - 9th Gen,256,1024,8,DDR4,64 bit Windows 10,15.6,Normal,Not Available,1 Year Onsite Warranty,53999
ASUS,Intel,Core i7  - 12th Gen,1024,0,16,DDR5,64 bit Windows 11,17.3,Normal,Not Available,1 Year Onsite Warranty,109990
ASUS,Intel,Core i3  - 11th Gen,256,1024,8,DDR4,64 bit Windows 11,14.1,Normal,Office Home & Student 2019,1 Year Onsite Warranty,38990
HP,AMD,Ryzen 3 Quad Core,512,0,8,DDR4,64 bit Windows 11,15.6,Normal,Office 2019 & Office 365,1 Year Onsite Warranty,40490
ASUS,Intel,Core i7  - 12th Gen,1024,0,16,DDR5,64 bit Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,118990
Lenovo,Intel,Core i3  - 11th Gen,256,0,8,DDR4,64 bit Windows 11,14.0,Normal,Office Home & Student 2021,2 Year Onsite Warranty,36000
ASUS,Intel,Core i5  - 11th Gen,256,1024,8,DDR4,Windows 10,15.6,Normal,Office Home & Student 2019,1 Year Onsite Warranty,49990
ASUS,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,15.6,Touchscreen,Not Available,1 Year Onsite Warranty,41990
Lenovo,Intel,Core i3  - 11th Gen,512,0,8,DDR4,64 bit Windows 11,14.0,Normal,Not Available,1 Year Onsite Warranty,37900
