Brand,Processor_Brand,Processor_Type,Storage_SSD,Storage_HDD,RAM_GB,RAM_Type,OS,Display_Size,Display_Type,Office,Warranty,Price
acer,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,31990
Lenovo,Intel,Celeron Dual Core,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,26990
HP,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,52990
Lenovo,Intel,Core i5  - 11th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,55990
ASUS,Intel,Core i3  - 12th Gen,256,,8,DDR4,Windows 11,14,Normal,Not Available,1 Year Onsite Warranty,39990
acer,Intel,Core i3  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year International Travelers Warranty,39990
ASUS,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Touchscreen,Not Available,1 Year Onsite Warranty,39990
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
ASUS,Intel,Core i3  - 11th Gen,256,,8,LPDDR4X,Windows 11,14,Touchscreen,Not Available,,44990
HP,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2019,1 Year Onsite Warranty,46990
APPLE,Apple,M2,256,,8,Unified Memory,Mac,13.6,Normal,Not Available,1 Year Limited Warranty,111990
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
ASUS,AMD,Ryzen 5 Hexa Core,1024,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,59990
MSI,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 10,15.6,Normal,Not Available,2 Year Carry In Warranty,56990
ASUS,AMD,Ryzen 7 Octa Core,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,,55990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40990
APPLE,Apple,M2,512,,8,Unified Memory,Mac,13.3,Normal,Not Available,1 Year Limited Warranty,139990
DELL,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,,57990
Lenovo,AMD,Ryzen 3 Dual Core,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,37990
ASUS,Intel,Core i5  - 12th Gen,512,,8,DDR5,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,76990
HP,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,61490
Lenovo,Intel,Core i5  - 11th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty + 1 Year Premium Care + 1 Year Accidental Damage Protection,59990
realme,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 10,14,Normal,Not Available,1 Year Domestic Warranty,46990
MSI,Intel,Core i5  - 12th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite & Carry In Warranty,52990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,39490
DELL,Intel,Core i5  - 11th Gen,512,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,64790
DELL,AMD,Ryzen 5 Hexa Core,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,,49390
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,14,Normal,Not Available,,33990
MSI,Intel,Core i7  - 11th Gen,512,,16,DDR4,Windows 10,15.6,Normal,Not Available,2 Year Carry In Warranty,84990
Lenovo,Intel,Core i5  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,55490
ASUS,Intel,Core i3  - 10th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
SAMSUNG,Qualcomm,Snapdragon 7c Gen 2,,,4,LPDDR4X,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,32990
HP,AMD,Ryzen 5 Hexa Core,512,,16,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,50499
APPLE,Apple,M1,256,,16,DDR4,Mac,13.3,Normal,Not Available,1 Year Limited Warranty,104990
Lenovo,Intel,Core i3  - 11th Gen,256,,8,DDR4,Windows 11,15.6,Normal,Not Available,2 Year Onsite Warranty,32890
MSI,AMD,Ryzen 9 Octa Core  - 5th Gen,1024,,16,DDR4,Windows 11,15.6,Normal,Not Available,1 Year Onsite Warranty,109990
Lenovo,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,15.6,Normal,Office Home & Student 2021,2 Year Onsite Warranty,37248
ASUS,AMD,Ryzen 7 Octa Core,1024,,16,DDR4,Windows 11,15.6,Normal,Office Home & Student,1 Year Onsite Warranty,84990
HP,Intel,Core i3  - 11th Gen,512,,8,DDR4,Windows 11,14,Normal,Office Home & Student 2021,1 Year Onsite Warranty,40990
